2.540000
DUNGEON
Crypt of Maal Il
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Rudon Shan
4 5 10 116 230
0 9
0 0 0 0 0 0 4 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 4 4 4 0 4 4 0 0 4 4 0 0 0 0 0 4 4 0 0 4 
0 0 4 0 4 4 0 0 0 0 4 4 0 0 4 0 0 0 0 0 4 0 0 4 0 4 0 0 0 0 4 4 4 0 0 4 4 0 4 0 4 0 
0 0 4 0 0 0 0 0 0 4 0 4 4 0 0 0 
MONSTER 3 1 0 2
MONSTER 7 0 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 3 1 0 4
MONSTER 7 0 0 4
MONSTER 2 5 1 7
MONSTER 2 5 1 7
MONSTER 2 5 1 9
MONSTER 1 3 1 2
MONSTER 3 1 1 2
MONSTER 2 4 1 2
MONSTER 7 0 1 0
MONSTER 2 5 2 9
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Tien Toor
1 5 10 226 122
2 1
0 0 0 0 0 6 0 6 6 0 6 0 0 0 0 0 0 6 6 0 0 0 6 6 0 0 6 0 6 0 0 6 0 0 0 0 0 0 0 0 0 0 
0 6 0 0 6 0 0 0 0 0 0 6 6 0 0 6 6 0 6 6 6 6 0 0 6 0 6 6 0 0 0 6 0 6 0 0 0 0 0 0 0 6 
0 6 0 6 0 6 0 6 0 0 0 0 0 6 0 6 
MONSTER 1 3 0 3
MONSTER 2 4 0 4
MONSTER 7 0 0 2
MONSTER 2 4 0 2
MONSTER 3 1 0 2
MONSTER 7 0 0 1
MONSTER 8 2 1 1
MONSTER 1 3 1 2
MONSTER 8 2 1 2
MONSTER 2 5 4 1
MONSTER 2 5 4 0
MONSTER 2 5 4 8
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Tomb of Tal Wid
3 5 10 114 240
0 3
0 0 0 7 0 0 7 7 0 7 0 0 7 7 0 0 0 7 0 0 7 7 0 7 7 0 7 0 0 0 7 0 7 0 0 0 7 7 0 0 0 0 
7 0 0 7 0 0 0 0 0 7 0 7 7 0 0 0 0 7 0 0 0 7 7 7 7 0 0 0 7 7 0 0 0 0 0 0 0 0 7 7 0 0 
0 7 7 7 0 0 0 0 7 0 0 7 0 7 0 0 
MONSTER 2 5 0 9
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 8 2 0 4
MONSTER 7 0 0 4
MONSTER 1 3 0 3
MONSTER 8 2 0 3
MONSTER 8 2 0 4
MONSTER 1 3 0 2
MONSTER 7 0 0 2
MONSTER 1 3 1 1
MONSTER 3 1 1 1
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 3 1 1 1
MONSTER 3 1 1 1
MONSTER 7 0 1 1
MONSTER 7 0 1 0
MONSTER 1 3 1 0
MONSTER 3 1 1 0
MONSTER 3 1 1 0
MONSTER 3 1 1 4
MONSTER 2 5 1 7
MONSTER 2 5 1 7
MONSTER 2 5 2 5
MONSTER 2 5 3 8
MONSTER 2 5 3 2
MONSTER 2 5 3 0
MONSTER 2 5 3 0
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Warrens of Chiang Toor
4 5 10 232 4
1 2
4 0 0 0 0 0 0 4 0 0 4 0 0 4 4 4 0 0 0 4 0 4 0 0 0 4 0 0 0 0 0 4 4 0 4 0 0 4 4 0 4 0 
0 0 4 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 4 4 4 0 4 0 4 0 0 0 0 0 0 0 0 4 4 4 0 0 0 0 0 0 
0 4 0 4 0 0 0 0 0 4 4 0 0 4 0 0 
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 2 4 0 2
MONSTER 7 0 0 1
MONSTER 2 5 1 9
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 3 1 1 4
MONSTER 2 5 3 7
MONSTER 3 1 3 8
MONSTER 7 0 3 8
MONSTER 7 0 3 8
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Tarath Del
2 5 10 248 18
0 8
0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 
1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 1 0 0 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
MONSTER 2 4 0 4
MONSTER 1 3 0 8
MONSTER 8 2 0 8
MONSTER 2 4 0 8
MONSTER 3 1 0 8
MONSTER 3 1 0 8
MONSTER 2 5 0 9
MONSTER 8 2 1 0
MONSTER 2 4 1 2
MONSTER 7 0 1 2
MONSTER 1 3 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 3 1 1 2
MONSTER 7 0 1 2
MONSTER 1 3 4 0
MONSTER 2 4 4 0
MONSTER 1 3 4 0
MONSTER 2 4 4 0
MONSTER 2 5 4 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Tien Quel
2 5 10 248 110
3 5
3 0 0 3 0 0 0 0 0 0 3 0 0 0 0 0 3 0 3 0 3 0 0 0 3 0 0 0 0 3 0 3 0 0 3 3 0 0 0 0 3 0 
3 3 0 0 3 0 3 0 0 3 0 0 0 0 3 0 0 0 3 3 0 0 0 3 3 0 0 3 0 0 0 3 3 0 0 3 0 0 3 0 0 0 
3 0 0 3 0 3 3 0 0 0 0 0 3 0 3 0 
MONSTER 2 5 0 8
MONSTER 7 0 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 2 4 0 4
MONSTER 2 4 0 4
MONSTER 2 5 0 4
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 3 1 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 3 1 1 4
MONSTER 1 3 1 4
MONSTER 8 2 1 4
MONSTER 3 1 1 4
MONSTER 7 0 1 0
MONSTER 2 5 2 9
MONSTER 3 1 2 0
MONSTER 7 0 3 0
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Dungeon of Rudon Del
2 5 10 202 166
0 9
0 0 0 0 7 7 7 7 0 0 0 7 7 0 0 0 0 7 7 0 0 0 0 0 7 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 7 0 0 0 0 0 7 7 0 0 7 0 0 0 0 0 0 7 0 0 0 0 0 0 7 0 0 0 0 0 7 0 0 7 
7 0 0 0 7 0 0 0 0 0 0 0 7 7 0 0 
MONSTER 7 0 2 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Warrens of Tal Pola
0 5 10 236 136
0 4
10 10 0 0 0 0 10 0 0 10 0 10 0 0 0 0 0 10 0 0 0 0 0 10 10 0 10 10 0 10 0 0 10 0 0 0 0 0 0 0 0 0 
0 10 0 0 0 10 0 0 0 0 0 0 0 10 0 10 10 0 0 0 10 10 0 0 0 10 0 10 10 0 0 0 0 0 0 10 0 0 0 0 10 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
MONSTER 1 3 1 3
MONSTER 2 4 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 1 3 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 1 3 1 3
MONSTER 1 3 1 3
MONSTER 7 0 1 3
MONSTER 3 1 1 2
MONSTER 2 4 1 2
MONSTER 1 3 1 2
MONSTER 1 3 1 2
MONSTER 3 1 1 2
MONSTER 8 2 1 2
MONSTER 1 3 1 2
MONSTER 1 3 1 2
MONSTER 2 4 1 2
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 3 1 1 3
MONSTER 1 3 1 3
MONSTER 1 3 1 3
MONSTER 8 2 1 1
MONSTER 1 3 1 0
MONSTER 1 3 3 5
MONSTER 2 5 3 5
MONSTER 2 5 3 7
MONSTER 2 4 4 7
MONSTER 2 4 4 7
MONSTER 2 5 4 7
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Warrens of Daar Quel
1 5 10 242 150
3 5
0 2 0 0 2 2 0 0 0 0 0 0 2 2 0 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 2 0 2 0 0 0 0 2 0 0 2 2 
0 0 0 0 0 2 2 0 0 0 0 0 0 2 2 0 2 2 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 2 
0 2 2 2 0 0 0 0 0 0 2 0 0 0 0 0 
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 8 2 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 7 0 0 3
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 4
MONSTER 2 4 0 4
MONSTER 2 4 0 4
MONSTER 2 4 0 4
MONSTER 2 5 0 4
MONSTER 8 2 0 4
MONSTER 2 5 1 9
MONSTER 2 5 1 8
MONSTER 8 2 1 1
MONSTER 7 0 1 1
MONSTER 7 0 2 4
MONSTER 2 5 3 5
MONSTER 7 0 3 3
MONSTER 7 0 4 5
MONSTER 8 2 4 0
MONSTER 7 0 4 0
MONSTER 2 5 4 5
MONSTER 3 1 4 5
MONSTER 3 1 4 5
MONSTER 3 1 4 5
MONSTER 3 1 4 5
MONSTER 2 4 4 5
MONSTER 7 0 4 5
MONSTER 1 3 4 5
MONSTER 1 3 4 5
MONSTER 1 3 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Pit of Tien Wid
1 5 10 228 166
2 3
0 7 0 0 0 7 7 0 0 0 0 0 7 7 0 0 0 0 7 0 7 0 7 0 0 7 0 0 0 7 0 0 7 0 0 0 0 0 0 0 0 7 
0 0 0 0 7 0 0 7 0 0 0 0 7 0 7 7 0 7 0 7 0 0 0 7 0 0 0 0 0 7 0 0 0 0 0 7 0 7 0 0 0 7 
7 0 0 0 0 0 0 0 0 7 0 7 7 7 0 0 
MONSTER 8 2 0 4
MONSTER 7 0 0 4
MONSTER 1 3 0 3
MONSTER 2 5 3 9
MONSTER 2 5 3 3
MONSTER 3 1 4 2
MONSTER 2 4 4 2
MONSTER 3 1 4 2
MONSTER 2 5 4 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Warrens of Daar Quel
2 5 10 146 250
3 10
10 0 0 10 0 0 10 10 10 0 10 10 0 0 10 10 0 0 0 0 10 0 0 10 0 0 0 0 0 10 10 10 10 10 10 10 0 0 0 0 10 0 
0 0 0 10 0 0 0 0 0 10 0 0 10 0 0 0 0 10 0 0 0 10 0 0 0 0 10 0 10 0 0 10 0 10 0 10 10 0 0 0 0 0 
0 0 0 0 0 0 10 0 0 0 0 10 10 0 10 0 
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Dungeon of Tarath Pola
4 5 10 170 233
3 10
2 0 0 2 0 0 0 0 0 2 0 0 0 2 2 2 2 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 0 0 0 2 
2 0 0 2 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 
0 2 0 0 2 0 2 0 0 0 2 0 0 0 0 2 
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 3
MONSTER 3 1 0 4
MONSTER 7 0 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 5
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 1 3 1 0
MONSTER 1 3 1 0
MONSTER 1 3 1 0
MONSTER 1 3 1 0
MONSTER 1 3 1 0
MONSTER 1 3 1 0
MONSTER 1 3 1 0
MONSTER 3 1 1 0
MONSTER 1 3 1 0
MONSTER 7 0 1 0
MONSTER 8 2 1 0
MONSTER 8 2 1 0
MONSTER 8 2 1 0
MONSTER 2 4 1 0
MONSTER 2 4 1 0
MONSTER 8 2 1 9
MONSTER 2 5 1 9
MONSTER 1 3 1 9
MONSTER 1 3 1 8
MONSTER 3 1 1 4
MONSTER 7 0 1 4
MONSTER 3 1 1 1
MONSTER 2 5 2 0
MONSTER 7 0 2 2
MONSTER 7 0 3 0
MONSTER 2 5 4 7
MONSTER 8 2 4 7
MONSTER 2 4 4 7
MONSTER 7 0 4 7
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Pit of Tal Jhor
0 5 10 250 154
2 2
1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 
0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 
0 1 1 0 1 0 0 0 0 1 1 0 0 0 1 0 
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Warrens of Tarath Jhor
3 5 10 188 224
0 9
7 0 0 0 7 0 0 0 0 0 0 0 7 7 0 0 7 0 0 0 7 0 0 7 0 0 7 0 7 7 7 0 0 0 7 0 7 0 0 0 7 0 
7 0 0 0 0 7 0 7 0 0 0 0 0 0 7 7 0 0 0 0 0 0 0 0 7 7 0 0 7 0 0 0 7 0 0 0 7 0 0 0 7 0 
7 0 0 7 7 0 0 0 0 7 7 7 0 0 0 0 
MONSTER 8 2 0 1
MONSTER 1 3 1 8
MONSTER 3 1 1 8
MONSTER 8 2 1 8
MONSTER 2 4 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 2
MONSTER 8 2 1 3
MONSTER 2 4 2 9
MONSTER 8 2 4 2
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Dungeon of Maal Goll
4 5 10 246 174
1 5
0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 3 0 0 3 0 0 3 3 0 0 3 0 0 0 
0 0 0 0 0 3 0 0 0 0 0 3 3 0 0 3 0 3 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 3 0 0 0 0 3 0 
0 0 0 3 3 0 0 0 0 0 3 3 0 0 0 3 
MONSTER 3 1 0 8
MONSTER 8 2 0 3
MONSTER 2 4 0 1
MONSTER 2 4 0 2
MONSTER 8 2 0 2
MONSTER 3 1 0 2
MONSTER 8 2 1 0
MONSTER 2 5 1 0
MONSTER 2 5 2 0
MONSTER 2 4 4 5
MONSTER 3 1 4 5
MONSTER 2 4 4 5
MONSTER 2 5 4 8
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Warrens of Brael Beon
2 5 10 210 216
2 6
0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 2 0 2 0 0 2 0 0 0 2 0 2 2 2 0 2 0 0 2 0 2 
2 0 0 2 2 0 0 2 0 0 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 2 2 0 0 0 0 0 
0 2 2 2 2 0 0 0 0 2 2 0 2 0 0 0 
MONSTER 2 4 0 3
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 2 4 0 1
MONSTER 8 2 0 2
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 8 2 1 3
MONSTER 8 2 1 1
MONSTER 1 3 1 1
MONSTER 3 1 1 1
MONSTER 2 4 1 1
MONSTER 1 3 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crack of Brael Hoth
2 5 10 210 250
0 6
0 0 0 0 0 0 0 10 0 0 0 10 0 0 10 0 10 10 0 0 10 0 10 0 0 0 0 0 0 0 10 10 0 0 10 10 0 0 0 10 0 0 
10 10 10 0 0 10 10 10 0 10 10 0 10 10 0 0 10 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 10 0 
10 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 
MONSTER 3 1 1 3
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Pit of Tarath Toor
0 5 10 244 240
0 10
0 10 10 0 0 0 0 0 0 0 10 0 0 0 0 10 0 0 10 0 0 10 10 0 0 10 0 0 0 0 10 0 0 0 0 0 0 0 0 0 10 0 
0 0 10 0 10 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 10 0 10 10 0 0 10 10 0 0 0 0 0 0 0 0 0 0 0 0 10 
0 10 10 0 10 0 0 0 0 0 0 0 10 0 10 0 
MONSTER 1 3 0 4
MONSTER 3 1 2 6
MONSTER 2 4 2 6
MONSTER 1 3 2 6
MONSTER 2 4 2 6
MONSTER 7 0 2 6
MONSTER 7 0 2 4
MONSTER 1 3 2 4
MONSTER 2 5 3 9
MONSTER 2 5 4 6
MONSTER 2 5 4 1
MONSTER 1 3 4 2
MONSTER 8 2 4 2
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
END
